bioguide_id,name,party,state,chamber,committees,top_industries_current_cycle,interest_group_ratings,external_links,notes
C001113,Catherine Cortez Masto,D,NV,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/catherine_cortez_masto/412681"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00037161""}",
R000608,Jacky Rosen,D,NV,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/jacky_rosen/412715"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00038734""}",
G000555,Kirsten Gillibrand,D,NY,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/kirsten_gillibrand/412223"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00027658""}",
S000148,Chuck Schumer,D,NY,senate,"[""Finance"", ""Judiciary"", ""Rules and Administration""]",[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/charles_schumer/300087"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00001093"", ""ballotpedia"": ""https://ballotpedia.org/Chuck_Schumer"", ""wikipedia"": ""https://en.wikipedia.org/wiki/Chuck_Schumer""}",Senate Majority Leader (119th Congress).
H001104,Jon Husted,R,OH,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/jon_husted/457032""}",
M001242,Bernie Moreno,R,OH,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/bernie_moreno/456967"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00048437""}",
A000383,Alan Armstrong,R,OK,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/alan_armstrong/457040""}",
L000575,James Lankford,R,OK,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/james_lankford/412464"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00031129""}",
M001176,Jeff Merkley,D,OR,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/jeff_merkley/412325"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00029303""}",
W000779,Ron Wyden,D,OR,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/ron_wyden/300100"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00007724""}",
